state;population;murder_total;murder_rate
Alabama;5024279;1880;0.00037418304198473057
Alaska;733391;267;0.0003640622805570289
Arizona;7705281;1094;0.0001419805455505127
Arkansas;3011524;773;0.0002566806706504746
California;39538223;5562;0.00014067400044761748
Colorado;5773714;796;0.00013786619842964164
Connecticut;3605944;341;9.45660831116623e-05
Delaware;989948;217;0.00031470027336867064
District of Columbia;692683;459;0.0004636607175326381
Florida;21538187;3909;0.005643274051766825
Georgia;10711908;2456;0.00011403002490413887
Hawaii;1455271;63;5.881305179245378e-06
Idaho;1839106;166;0.00011406810140516784
Illinois;12801989;3409;0.0018536180078799155
Indiana;6785528;1608;0.0001256054820856353
Iowa;3271616;273;4.0232683440404344e-05
Kansas;2937880;542;0.0001656673643850623
Kentucky;4505836;1066;0.00036284667855732703
Louisiana;4657757;2179;0.00048359505317104306
Maine;1362359;112;2.4045908792579776e-05
Maryland;6177224;1691;0.0012412293675896002
Massachusetts;7029917;472;7.640972708776629e-05
Michigan;10077331;1588;0.0002258917139419996
Minnesota;5706494;461;4.5746239753363266e-05
Mississippi;2961279;1176;0.00020608100174993613
Missouri;6154913;2136;0.0007213099474922829
Montana;1084225;154;2.502066235542241e-05
Nebraska;1961504;225;0.00020752150153335332
Nevada;3104614;799;0.00040734048974664337
New Hampshire;1377529;88;2.8344908578006798e-05
New Jersey;9288994;1168;0.0008478950352406374
New Mexico;2117522;495;5.328887067856864e-05
New York;20201249;1705;0.0008051864396214065
North Carolina;10439388;2225;0.00011014170460450243
North Dakota;779094;69;6.609582860604472e-06
Ohio;11799448;2508;0.0032191237514343583
Oklahoma;3959353;941;7.974949336613035e-05
Oregon;4237256;446;0.00011264466694432145
Pennsylvania;13002700;2395;0.00056522428666099
Rhode Island;1097379;63;4.84514754627885e-06
South Carolina;5118425;1610;0.001467132139397601
South Dakota;886667;90;1.758353399727455e-05
Tennessee;6910840;1824;0.0020571420837811713
Texas;29145505;5046;0.0007301572601883418
Utah;3205958;282;9.675591484861903e-06
Vermont;643077;57;1.777939698523811e-05
Washington;8631393;853;9.882529969380377e-05
West Virginia;1793716;335;0.00018676312192119599
Wisconsin;5893718;862;0.00014625742188547196
Wyoming;576851;73;0.00012654914353966623
