Unnamed: 0;disease;state;year;weeks_reporting;count;population
5;Hepatitis A;Alabama;1970;51;413;3444165.0
51;Hepatitis A;Alaska;1970;32;113;300382.0
97;Hepatitis A;Arizona;1970;50;615;1770900.0
143;Hepatitis A;Arkansas;1970;42;212;1923295.0
189;Hepatitis A;California;1970;50;9422;19953134.0
235;Hepatitis A;Colorado;1970;41;915;2207259.0
281;Hepatitis A;Connecticut;1970;51;860;3031709.0
327;Hepatitis A;Delaware;1970;43;135;548104.0
373;Hepatitis A;District Of Columbia;1970;37;87;756510.0
419;Hepatitis A;Florida;1970;50;1804;6789443.0
465;Hepatitis A;Georgia;1970;51;763;4589575.0
511;Hepatitis A;Hawaii;1970;44;237;768561.0
557;Hepatitis A;Idaho;1970;43;168;712567.0
603;Hepatitis A;Illinois;1970;51;1683;11113976.0
649;Hepatitis A;Indiana;1970;49;584;5193669.0
695;Hepatitis A;Iowa;1970;50;338;2824376.0
741;Hepatitis A;Kansas;1970;50;555;2246578.0
787;Hepatitis A;Kentucky;1970;51;1241;3218706.0
833;Hepatitis A;Louisiana;1970;50;564;3641306.0
879;Hepatitis A;Maine;1970;51;642;992048.0
925;Hepatitis A;Maryland;1970;51;907;3922399.0
971;Hepatitis A;Massachusetts;1970;50;2204;5689170.0
1017;Hepatitis A;Michigan;1970;51;3809;8875083.0
1063;Hepatitis A;Minnesota;1970;51;333;3804971.0
1109;Hepatitis A;Mississippi;1970;50;235;2216912.0
1155;Hepatitis A;Missouri;1970;51;725;4676501.0
1201;Hepatitis A;Montana;1970;42;166;694409.0
1247;Hepatitis A;Nebraska;1970;44;132;1483493.0
1293;Hepatitis A;Nevada;1970;28;137;488738.0
1339;Hepatitis A;New Hampshire;1970;46;206;737681.0
1385;Hepatitis A;New Jersey;1970;51;2655;7168164.0
1431;Hepatitis A;New Mexico;1970;50;351;1016000.0
1477;Hepatitis A;New York;1970;51;5024;18236967.0
1523;Hepatitis A;North Carolina;1970;51;956;5082059.0
1569;Hepatitis A;North Dakota;1970;26;66;617761.0
1615;Hepatitis A;Ohio;1970;51;2247;10652017.0
1661;Hepatitis A;Oklahoma;1970;49;400;2559229.0
1707;Hepatitis A;Oregon;1970;51;1008;2091385.0
1753;Hepatitis A;Pennsylvania;1970;50;2863;11793909.0
1799;Hepatitis A;Rhode Island;1970;51;659;946725.0
1845;Hepatitis A;South Carolina;1970;50;375;2590516.0
1891;Hepatitis A;South Dakota;1970;19;21;665507.0
1937;Hepatitis A;Tennessee;1970;51;1267;3923687.0
1983;Hepatitis A;Texas;1970;51;2741;11196730.0
2029;Hepatitis A;Utah;1970;48;310;1059273.0
2075;Hepatitis A;Vermont;1970;49;367;444330.0
2121;Hepatitis A;Virginia;1970;50;1353;4648494.0
2167;Hepatitis A;Washington;1970;51;1374;3409169.0
2213;Hepatitis A;West Virginia;1970;50;383;1744237.0
2259;Hepatitis A;Wisconsin;1970;51;480;4417731.0
2305;Hepatitis A;Wyoming;1970;38;83;332416.0
2369;Measles;Alabama;1950;47;1556;3061743.0
2379;Measles;Alabama;1960;48;2075;3266740.0
2389;Measles;Alabama;1970;50;487;3444165.0
2444;Measles;Alaska;1950;0;0;
2454;Measles;Alaska;1960;41;1456;226167.0
2464;Measles;Alaska;1970;46;106;300382.0
2519;Measles;Arizona;1950;49;2389;749587.0
2529;Measles;Arizona;1960;46;4305;1302161.0
2539;Measles;Arizona;1970;51;1006;1770900.0
2594;Measles;Arkansas;1950;50;1739;1909511.0
2604;Measles;Arkansas;1960;43;1596;1786272.0
2614;Measles;Arkansas;1970;45;33;1923295.0
2669;Measles;California;1950;50;14728;10586224.0
2679;Measles;California;1960;52;22222;15717204.0
2689;Measles;California;1970;51;1949;19953134.0
2744;Measles;Colorado;1950;50;5239;1325089.0
2754;Measles;Colorado;1960;51;6806;1753947.0
2764;Measles;Colorado;1970;49;240;2207259.0
2819;Measles;Connecticut;1950;51;3980;2007280.0
2829;Measles;Connecticut;1960;51;11057;2535234.0
2839;Measles;Connecticut;1970;51;116;3031709.0
2894;Measles;Delaware;1950;44;625;318085.0
2904;Measles;Delaware;1960;49;956;446292.0
2914;Measles;Delaware;1970;51;268;548104.0
2969;Measles;District Of Columbia;1950;43;1721;802178.0
2979;Measles;District Of Columbia;1960;45;1210;763956.0
2989;Measles;District Of Columbia;1970;50;345;756510.0
3044;Measles;Florida;1950;49;2344;2771305.0
3054;Measles;Florida;1960;46;3723;4951560.0
3064;Measles;Florida;1970;51;1445;6789443.0
3119;Measles;Georgia;1950;48;2159;3444578.0
3129;Measles;Georgia;1960;35;217;3943116.0
3139;Measles;Georgia;1970;44;18;4589575.0
3194;Measles;Hawaii;1950;23;66;
3204;Measles;Hawaii;1960;42;5322;632772.0
3214;Measles;Hawaii;1970;49;192;768561.0
3269;Measles;Idaho;1950;50;1912;588637.0
3279;Measles;Idaho;1960;43;2831;667191.0
3289;Measles;Idaho;1970;46;98;712567.0
3344;Measles;Illinois;1950;51;17507;8712176.0
3354;Measles;Illinois;1960;52;22656;10081158.0
3364;Measles;Illinois;1970;51;3293;11113976.0
3419;Measles;Indiana;1950;48;6721;3934224.0
3429;Measles;Indiana;1960;52;10427;4662498.0
3439;Measles;Indiana;1970;50;287;5193669.0
3494;Measles;Iowa;1950;49;10486;2621073.0
3504;Measles;Iowa;1960;51;1764;2757537.0
3514;Measles;Iowa;1970;44;894;2824376.0
3569;Measles;Kansas;1950;50;1785;1905299.0
3579;Measles;Kansas;1960;0;0;2178611.0
3589;Measles;Kansas;1970;48;76;2246578.0
3644;Measles;Kentucky;1950;49;4775;2944806.0
3654;Measles;Kentucky;1960;49;10734;3038156.0
3664;Measles;Kentucky;1970;51;1070;3218706.0
3719;Measles;Louisiana;1950;46;770;2683516.0
3729;Measles;Louisiana;1960;27;244;3257022.0
3739;Measles;Louisiana;1970;50;309;3641306.0
3794;Measles;Maine;1950;46;973;913774.0
3804;Measles;Maine;1960;52;4027;969265.0
3814;Measles;Maine;1970;42;421;992048.0
3869;Measles;Maryland;1950;49;1454;2343001.0
3879;Measles;Maryland;1960;52;3251;3100689.0
3889;Measles;Maryland;1970;51;1392;3922399.0
3944;Measles;Massachusetts;1950;51;12405;4690514.0
3954;Measles;Massachusetts;1960;51;21703;5148578.0
3964;Measles;Massachusetts;1970;51;905;5689170.0
4019;Measles;Michigan;1950;51;36859;6371766.0
4029;Measles;Michigan;1960;51;35379;7823194.0
4039;Measles;Michigan;1970;51;1819;8875083.0
4094;Measles;Minnesota;1950;51;3751;2982483.0
4104;Measles;Minnesota;1960;47;4325;3413864.0
4114;Measles;Minnesota;1970;46;49;3804971.0
4169;Measles;Mississippi;1950;46;2165;2178914.0
4179;Measles;Mississippi;1960;38;1665;2178141.0
4189;Measles;Mississippi;1970;48;138;2216912.0
4244;Measles;Missouri;1950;51;2301;3954653.0
4254;Measles;Missouri;1960;47;751;4319813.0
4264;Measles;Missouri;1970;49;779;4676501.0
4319;Measles;Montana;1950;48;1780;591024.0
4329;Measles;Montana;1960;45;2132;674767.0
4339;Measles;Montana;1970;50;114;694409.0
4394;Measles;Nebraska;1950;39;3653;1325510.0
4404;Measles;Nebraska;1960;34;210;1411330.0
4414;Measles;Nebraska;1970;51;787;1483493.0
4469;Measles;Nevada;1950;20;110;160083.0
4479;Measles;Nevada;1960;39;765;285278.0
4489;Measles;Nevada;1970;47;21;488738.0
4544;Measles;New Hampshire;1950;21;183;533242.0
4554;Measles;New Hampshire;1960;47;1135;606921.0
4564;Measles;New Hampshire;1970;47;64;737681.0
4619;Measles;New Jersey;1950;51;29313;4835329.0
4629;Measles;New Jersey;1960;52;10697;6066782.0
4639;Measles;New Jersey;1970;51;1710;7168164.0
4694;Measles;New Mexico;1950;48;937;681187.0
4704;Measles;New Mexico;1960;1;65;951023.0
4714;Measles;New Mexico;1970;51;302;1016000.0
4769;Measles;New York;1950;51;29924;14830192.0
4779;Measles;New York;1960;52;46685;16782304.0
4789;Measles;New York;1970;51;1568;18236967.0
4844;Measles;North Carolina;1950;51;4836;4061929.0
4854;Measles;North Carolina;1960;50;1239;4556155.0
4864;Measles;North Carolina;1970;51;1013;5082059.0
4919;Measles;North Dakota;1950;46;394;619636.0
4929;Measles;North Dakota;1960;51;2476;632446.0
4939;Measles;North Dakota;1970;49;321;617761.0
4994;Measles;Ohio;1950;50;12911;7946627.0
5004;Measles;Ohio;1960;51;18605;9706398.0
5014;Measles;Ohio;1970;51;4044;10652017.0
5069;Measles;Oklahoma;1950;50;613;2233351.0
5079;Measles;Oklahoma;1960;40;1208;2328284.0
5089;Measles;Oklahoma;1970;45;802;2559229.0
5144;Measles;Oregon;1950;50;757;1521341.0
5154;Measles;Oregon;1960;52;11074;1768687.0
5164;Measles;Oregon;1970;45;455;2091385.0
5219;Measles;Pennsylvania;1950;51;17382;10498012.0
5229;Measles;Pennsylvania;1960;51;6767;11319366.0
5239;Measles;Pennsylvania;1970;51;2098;11793909.0
5294;Measles;Rhode Island;1950;44;241;791896.0
5304;Measles;Rhode Island;1960;50;1948;859488.0
5314;Measles;Rhode Island;1970;49;110;946725.0
5369;Measles;South Carolina;1950;45;1915;2117027.0
5379;Measles;South Carolina;1960;45;1284;2382594.0
5389;Measles;South Carolina;1970;50;638;2590516.0
5444;Measles;South Dakota;1950;45;672;652740.0
5454;Measles;South Dakota;1960;12;120;680514.0
5464;Measles;South Dakota;1970;45;106;665507.0
5519;Measles;Tennessee;1950;49;3452;3291718.0
5529;Measles;Tennessee;1960;52;19158;3567089.0
5539;Measles;Tennessee;1970;50;546;3923687.0
5594;Measles;Texas;1950;50;13658;7711194.0
5604;Measles;Texas;1960;52;49678;9579678.0
5614;Measles;Texas;1970;51;8327;11196730.0
5669;Measles;Utah;1950;50;6119;688862.0
5679;Measles;Utah;1960;52;4966;890627.0
5689;Measles;Utah;1970;45;39;1059273.0
5744;Measles;Vermont;1950;47;597;377747.0
5754;Measles;Vermont;1960;47;3475;389881.0
5764;Measles;Vermont;1970;42;9;444330.0
5819;Measles;Virginia;1950;51;2832;3318680.0
5829;Measles;Virginia;1960;51;7396;3966949.0
5839;Measles;Virginia;1970;51;2466;4648494.0
5894;Measles;Washington;1950;49;3404;2378963.0
5904;Measles;Washington;1960;49;13023;2853214.0
5914;Measles;Washington;1970;49;678;3409169.0
5969;Measles;West Virginia;1950;50;5881;2005552.0
5979;Measles;West Virginia;1960;49;3528;1860421.0
5989;Measles;West Virginia;1970;51;349;1744237.0
6044;Measles;Wisconsin;1950;51;18796;3434575.0
6054;Measles;Wisconsin;1960;51;43191;3951777.0
6064;Measles;Wisconsin;1970;51;1384;4417731.0
6119;Measles;Wyoming;1950;42;609;290529.0
6129;Measles;Wyoming;1960;33;694;330066.0
6139;Measles;Wyoming;1970;34;11;332416.0
6174;Mumps;Alabama;1970;51;392;3444165.0
6209;Mumps;Alaska;1970;50;290;300382.0
6244;Mumps;Arizona;1970;50;987;1770900.0
6279;Mumps;Arkansas;1970;46;156;1923295.0
6314;Mumps;California;1970;51;6225;19953134.0
6349;Mumps;Colorado;1970;51;1535;2207259.0
6384;Mumps;Connecticut;1970;51;3649;3031709.0
6419;Mumps;Delaware;1970;51;366;548104.0
6454;Mumps;District Of Columbia;1970;51;218;756510.0
6489;Mumps;Florida;1970;51;2907;6789443.0
6524;Mumps;Georgia;1970;16;3;4589575.0
6559;Mumps;Hawaii;1970;50;1493;768561.0
6594;Mumps;Idaho;1970;50;107;712567.0
6629;Mumps;Illinois;1970;51;2221;11113976.0
6664;Mumps;Indiana;1970;51;2428;5193669.0
6699;Mumps;Iowa;1970;51;3319;2824376.0
6734;Mumps;Kansas;1970;45;155;2246578.0
6769;Mumps;Kentucky;1970;51;2203;3218706.0
6804;Mumps;Louisiana;1970;47;48;3641306.0
6839;Mumps;Maine;1970;51;904;992048.0
6874;Mumps;Maryland;1970;51;1140;3922399.0
6909;Mumps;Massachusetts;1970;51;3391;5689170.0
6944;Mumps;Michigan;1970;51;7672;8875083.0
6979;Mumps;Minnesota;1970;50;536;3804971.0
7014;Mumps;Mississippi;1970;49;73;2216912.0
7049;Mumps;Missouri;1970;51;314;4676501.0
7084;Mumps;Montana;1970;51;807;694409.0
7119;Mumps;Nebraska;1970;51;399;1483493.0
7154;Mumps;Nevada;1970;0;0;488738.0
7189;Mumps;New Hampshire;1970;51;431;737681.0
7224;Mumps;New Jersey;1970;51;2772;7168164.0
7259;Mumps;New Mexico;1970;51;783;1016000.0
7294;Mumps;New York;1970;11;1026;18236967.0
7329;Mumps;North Carolina;1970;0;0;5082059.0
7364;Mumps;North Dakota;1970;51;374;617761.0
7399;Mumps;Ohio;1970;51;4903;10652017.0
7434;Mumps;Oklahoma;1970;51;2403;2559229.0
7469;Mumps;Oregon;1970;51;1372;2091385.0
7504;Mumps;Pennsylvania;1970;51;3450;11793909.0
