disease;state;ratio
Hepatitis A;Alabama;11.991295422838336
Hepatitis A;Alaska;37.61876543867476
Hepatitis A;Arizona;34.72810435371845
Hepatitis A;Arkansas;11.022750020147715
Hepatitis A;California;47.22065215419292
Hepatitis A;Colorado;41.4541293069821
Hepatitis A;Connecticut;28.366838637877184
Hepatitis A;Delaware;24.630362121057317
Hepatitis A;District Of Columbia;11.50017845104493
Hepatitis A;Florida;26.57066271857647
Hepatitis A;Georgia;16.62463299978756
Hepatitis A;Hawaii;30.83684964498589
Hepatitis A;Idaho;23.576730328516476
Hepatitis A;Illinois;15.143095504255182
Hepatitis A;Indiana;11.24445936004008
Hepatitis A;Iowa;11.967245154327895
Hepatitis A;Kansas;24.704239069375735
Hepatitis A;Kentucky;38.55586686078194
Hepatitis A;Louisiana;15.488948196059326
Hepatitis A;Maine;64.71461058335888
Hepatitis A;Maryland;23.123603692536125
Hepatitis A;Massachusetts;38.74027318571953
Hepatitis A;Michigan;42.91790848603895
Hepatitis A;Minnesota;8.751709277153491
Hepatitis A;Mississippi;10.600330549881997
Hepatitis A;Missouri;15.50304383555141
Hepatitis A;Montana;23.90522012243505
Hepatitis A;Nebraska;8.897918628534143
Hepatitis A;Nevada;28.03137877554027
Hepatitis A;New Hampshire;27.925349846342797
Hepatitis A;New Jersey;37.03877310842776
Hepatitis A;New Mexico;34.54724409448819
Hepatitis A;New York;27.548440483551897
Hepatitis A;North Carolina;18.811273147360154
Hepatitis A;North Dakota;10.683743389433777
Hepatitis A;Ohio;21.094596450606492
Hepatitis A;Oklahoma;15.629707228231627
Hepatitis A;Oregon;48.19772543075522
Hepatitis A;Pennsylvania;24.275242415385772
Hepatitis A;Rhode Island;69.60838680715096
Hepatitis A;South Carolina;14.475880480954373
Hepatitis A;South Dakota;3.155488973068653
Hepatitis A;Tennessee;32.29105685545254
Hepatitis A;Texas;24.480361677025346
Hepatitis A;Utah;29.26535463473533
Hepatitis A;Vermont;82.59626853914884
Hepatitis A;Virginia;29.10620084698399
Hepatitis A;Washington;40.30307679085431
Hepatitis A;West Virginia;21.95802519955717
Hepatitis A;Wisconsin;10.865306194514787
Hepatitis A;Wyoming;24.968713900654603
Measles;Alabama;50.82072531887882
Measles;Alabama;63.5189822269296
Measles;Alabama;14.139856830320266
Measles;Alaska;
Measles;Alaska;643.7720799232426
Measles;Alaska;35.288399438048884
Measles;Arizona;318.70883566550646
Measles;Arizona;330.60428011589966
Measles;Arizona;56.80727313795246
Measles;Arkansas;91.07043635779003
Measles;Arkansas;89.34809480303112
Measles;Arkansas;1.715805427664503
Measles;California;139.12420519346654
Measles;California;141.3864705198202
Measles;California;9.767889094515178
Measles;Colorado;395.3696695089915
Measles;Colorado;388.0390912610244
Measles;Colorado;10.87321424445432
Measles;Connecticut;198.27826710772786
Measles;Connecticut;436.13331156019524
Measles;Connecticut;3.8262247465043644
Measles;Delaware;196.48836002955184
Measles;Delaware;214.20953097971733
Measles;Delaware;48.895829988469345
Measles;District Of Columbia;214.54091236608335
Measles;District Of Columbia;158.3860850624905
Measles;District Of Columbia;45.60415592655748
Measles;Florida;84.58109085791712
Measles;Florida;75.18842546591377
Measles;Florida;21.283041922584815
Measles;Georgia;62.67821486405592
Measles;Georgia;5.503261887299283
Measles;Georgia;0.3921931769281469
Measles;Hawaii;
Measles;Hawaii;841.0612353264682
Measles;Hawaii;24.98175161112781
Measles;Idaho;324.8181816637418
Measles;Idaho;424.31627524951625
Measles;Idaho;13.753092691634611
Measles;Illinois;200.94864933858085
Measles;Illinois;224.7360868662112
Measles;Illinois;29.6293603657233
Measles;Indiana;170.83419754442045
Measles;Indiana;223.6354846693768
Measles;Indiana;5.525958623855313
Measles;Iowa;400.0651641522384
Measles;Iowa;63.970129865891195
Measles;Iowa;31.653009372689755
Measles;Kansas;93.68608286678364
Measles;Kansas;0.0
Measles;Kansas;3.3829228275181187
Measles;Kentucky;162.14990053674163
