name;sex;count
Isabella;F;22306
Emma;F;17895
Olivia;F;17435
Sophia;F;16944
Ava;F;15873
Emily;F;15352
Madison;F;15239
Abigail;F;14390
Chloe;F;11909
Mia;F;11426
Elizabeth;F;11035
Addison;F;10660
Alexis;F;9934
Samantha;F;9660
Ella;F;9654
Natalie;F;9409
Grace;F;8314
Lily;F;8098
Alyssa;F;7966
Ashley;F;7813
Sarah;F;7780
Taylor;F;7583
Hannah;F;7572
Brianna;F;7352
Hailey;F;7317
Kaylee;F;7213
Lillian;F;6857
Anna;F;6804
Leah;F;6789
Allison;F;6581
Victoria;F;6361
Avery;F;6298
Gabriella;F;6145
Nevaeh;F;6107
Kayla;F;5840
Sofia;F;5694
Brooklyn;F;5664
Riley;F;5635
Savannah;F;5596
Evelyn;F;5583
Aubrey;F;5406
Peyton;F;5313
Alexa;F;5308
Makayla;F;5264
Layla;F;5206
Lauren;F;5199
Zoe;F;5146
Sydney;F;5058
Audrey;F;5007
Julia;F;4993
Jasmine;F;4878
Arianna;F;4836
Claire;F;4824
Brooke;F;4797
Amelia;F;4699
Morgan;F;4610
Destiny;F;4607
Bella;F;4534
Madelyn;F;4496
Katherine;F;4428
Maya;F;4391
Kylie;F;4385
Aaliyah;F;4370
Madeline;F;4300
Sophie;F;4264
Kimberly;F;4223
Kaitlyn;F;4202
Charlotte;F;4188
Alexandra;F;4162
Maria;F;4136
Jocelyn;F;4113
Valeria;F;4090
Andrea;F;4060
Trinity;F;4022
Zoey;F;3994
Gianna;F;3937
Mackenzie;F;3901
Jessica;F;3798
Faith;F;3760
Camila;F;3733
Autumn;F;3710
Ariana;F;3693
Genesis;F;3668
Payton;F;3644
Bailey;F;3638
Angelina;F;3634
Caroline;F;3624
Mariah;F;3597
Rachel;F;3584
Katelyn;F;3571
Vanessa;F;3518
Molly;F;3507
Melanie;F;3485
Serenity;F;3478
Khloe;F;3455
Gabrielle;F;3420
Paige;F;3410
Mya;F;3409
Eva;F;3393
Isabelle;F;3306
Lucy;F;3178
Mary;F;3163
Natalia;F;3109
Michelle;F;3078
Megan;F;3055
Sara;F;3042
Naomi;F;3036
Ruby;F;3018
Jennifer;F;2987
Isabel;F;2982
Sadie;F;2972
Stephanie;F;2921
Jada;F;2896
Gracie;F;2864
Kennedy;F;2862
Rylee;F;2829
Lilly;F;2828
Lydia;F;2824
Nicole;F;2768
Liliana;F;2650
Jenna;F;2634
London;F;2629
Haley;F;2619
Jordyn;F;2587
Adriana;F;2569
Stella;F;2559
Reagan;F;2539
Jayla;F;2537
Jade;F;2490
Amy;F;2483
Hayden;F;2474
Rebecca;F;2465
Kendall;F;2414
Giselle;F;2402
Laila;F;2377
Daniela;F;2363
Melissa;F;2335
Valerie;F;2317
Gabriela;F;2293
Violet;F;2260
Keira;F;2259
Angela;F;2258
Katie;F;2246
Ellie;F;2234
Reese;F;2234
Ashlyn;F;2192
Piper;F;2190
Kylee;F;2177
Marley;F;2170
Jordan;F;2095
Daisy;F;2074
Briana;F;2073
Juliana;F;2072
Lyla;F;2069
Mckenzie;F;2061
Annabelle;F;2056
Jillian;F;2038
Aliyah;F;1989
Kate;F;1986
Leslie;F;1981
Izabella;F;1972
Jacqueline;F;1967
Brooklynn;F;1966
Vivian;F;1964
Amanda;F;1956
Diana;F;1943
Lila;F;1934
Shelby;F;1934
Danielle;F;1932
Scarlett;F;1921
Adrianna;F;1913
Alana;F;1903
Harper;F;1903
Makenzie;F;1897
Summer;F;1897
Catherine;F;1889
Angel;F;1880
Alivia;F;1829
Mikayla;F;1828
Aniyah;F;1825
Ana;F;1822
Miranda;F;1812
Marissa;F;1795
Amber;F;1772
Cheyenne;F;1768
Skylar;F;1768
Jayden;F;1765
Margaret;F;1764
Miley;F;1733
Julianna;F;1704
Delilah;F;1703
Eliana;F;1699
Malia;F;1699
Erin;F;1692
Elena;F;1683
Sierra;F;1672
Sienna;F;1671
Nora;F;1669
Clara;F;1647
Alexandria;F;1640
Josephine;F;1625
Amaya;F;1596
Valentina;F;1584
Breanna;F;1580
Ariel;F;1571
Eden;F;1568
Tessa;F;1568
Alicia;F;1560
Jazmin;F;1543
