name;sex;count
Aaban;M;109
Aabha;F;35
Aabid;M;11
Aabidah;F;5
Aabir;M;10
Aabriella;F;33
Aada;F;13
Aadam;M;156
Aadan;M;95
Aadarsh;M;116
Aadaya;F;8
Aaden;F;5
Aaden;M;3564
Aadesh;M;17
Aadhav;M;206
Aadhavan;M;44
Aadhi;M;54
Aadhira;F;107
Aadhiran;M;6
Aadhvik;M;54
Aadhvika;F;17
Aadhya;F;1706
Aadhyan;M;18
Aadhyareddy;F;6
Aadhyasri;F;6
Aadi;F;11
Aadi;M;537
Aadian;M;5
Aadil;M;151
Aadilynn;F;5
Aadin;M;82
Aadish;M;37
Aadison;F;11
Aadit;M;268
Aadith;M;69
Aadithya;M;11
Aaditri;F;53
Aaditya;M;324
Aadiv;M;17
Aadon;M;79
Aadrian;M;12
Aadrika;F;27
Aadrit;M;15
Aadriti;F;15
Aadvi;F;7
Aadvik;M;264
Aadvika;F;65
Aadya;F;1046
Aadyant;M;6
Aadyn;F;7
Aadyn;M;387
Aafia;F;6
Aafiya;F;21
Aafiyah;F;16
Aagam;M;30
Aagna;F;7
Aahaan;M;43
Aahan;M;279
Aahana;F;543
Aaheli;F;10
Aahil;M;512
Aahir;M;6
Aahliyah;F;6
Aahna;F;77
Aaidan;M;13
Aaiden;M;710
Aaidyn;M;65
Aaila;F;52
Aailiyah;F;10
Aailyah;F;100
Aaima;F;77
Aaira;F;179
Aairah;F;122
Aaisha;F;68
Aaishah;F;11
Aaiyana;F;5
Aaiza;F;24
Aajah;F;5
Aakanksha;F;5
Aakarsh;M;38
Aakash;M;263
Aakif;M;5
Aakil;M;14
Aakriti;F;49
Aala;F;82
Aalaiya;F;7
Aalaiyah;F;51
Aalam;M;5
Aalana;F;31
Aalanah;F;16
Aalani;F;94
Aalasia;F;5
Aalaya;F;98
Aalayah;F;567
Aalayiah;F;20
Aalayna;F;30
Aalaysia;F;81
Aalea;F;7
Aaleah;F;197
Aaleahya;F;20
Aaleayah;F;5
Aaleena;F;5
Aaleeyah;F;84
Aaleiah;F;6
Aaleigha;F;101
Aaleiya;F;29
Aaleiyah;F;36
Aalena;F;5
Aaleya;F;16
Aaleyah;F;946
Aali;M;6
Aalia;F;345
Aaliah;F;447
Aaliana;F;23
Aaliayah;F;25
Aalieyah;F;5
Aalijah;F;86
Aalijah;M;145
Aalilah;F;5
Aalim;M;22
Aalimah;F;11
Aalina;F;66
Aalinah;F;6
Aalisa;F;5
Aalisha;F;18
Aalivia;F;44
Aaliya;F;688
Aaliyaa;F;5
Aaliyah;F;47267
